0,0,0,0
0,0,0,0
0,0,0,0
5.5007,6.3185,0.0001279,1.6419
5.5003,6.4688,-0.0003588,1.7018
5.5015,6.546,-0.0011258,1.7338
5.5004,6.5982,-0.00019191,1.752
5.5009,6.6315,-0.00028631,1.7639
5.502,6.6513,-0.0002717,1.7715
5.501,6.6649,0.00023984,1.778
5.5012,6.6774,1.9544e-05,1.7822
5.5017,6.6854,-0.00030572,1.7851
5.5013,6.693,-5.6808e-06,1.7878
5.5012,6.697,0.00018322,1.7894
5.5013,6.7028,-0.0003982,1.791
5.501,6.707,-8.005e-05,1.7926
5.5014,6.71,-0.00019608,1.7935
5.5014,6.7113,-9.1013e-05,1.7941
5.5013,6.7117,0.00021815,1.7953
5.5013,6.7156,4.8517e-05,1.7956
5.5012,6.7174,0.00010531,1.796
5.5013,6.7183,0.00010445,1.797
5.5012,6.7187,1.2743e-05,1.7975
5.5014,6.7205,-0.00018607,1.7978
5.5009,6.7214,0.00018341,1.7981
5.5013,6.7234,-0.00016411,1.7983
5.5013,6.7228,-0.00014262,1.7986
5.5012,6.7227,-0.00010306,1.7989
5.5012,6.723,-4.831e-05,1.7992
5.5011,6.7245,-0.00016292,1.7993
5.5011,6.7259,-0.00012579,1.7993
5.5011,6.727,-0.00015001,1.7996
5.5012,6.7269,-0.00019949,1.7999
5.5012,6.7274,-3.3367e-05,1.7999
5.5012,6.7273,6.8633e-06,1.8002
5.5013,6.7275,-0.0001438,1.8001
5.5012,6.7272,2.3278e-05,1.8003
5.5012,6.7272,-5.1786e-05,1.8002
5.5012,6.7278,-6.9175e-05,1.8004
5.5012,6.7283,6.2553e-05,1.8003
5.5012,6.7285,-5.1024e-05,1.8003
5.5012,6.7276,-2.3561e-06,1.8005
5.5012,6.7281,-1.4673e-05,1.8006
